Caractère,Pinyin,Français
爱,ài,aimer ; amour
八,bā,huit ; 8 ; séparer
爸,bà,papa
杯,bēi,"tasse ; verre ; tasse de, verre de"
北,běi,nord
本,běn,"racine, origine ; cahier ; spécificatif"
不,bù,"non ; particule négative, ne pas ; prend un 2e ton devant un 4e ton"
菜,cài,"légume, mets, plat ; courses, commissions"
茶,chá,thé
唱,chàng,chanter
车,chē,"véhicule, voiture ; char"
吃,chī,manger
出,chū,sortir
打,dǎ,frapper ; faire ; ce verbe s'utilise dans une multitude d'acceptions
大,dà,"grand, être grand ; âgé, être âgé ; voir aussi dai4"
的,de,"particule marquant le déterminant du nom ; particule ; voir aussi di1, di2, di4"
点,diǎn,"point ; heure ; peu ; commander, au restaurant"
店,diàn,"boutique, auberge, magasin"
电,diàn,éclair ; électricité
东,dōng,est (direction cardinale) ; oriental
斗,dǒu,"tout, toute, tous, toutes ; globalise ce qui précède ; adverbe dépendant ; voir aussi du1"
读,dú,"lire, lire à haute voix ; étudier"
对,duì,"juste, être juste ; vrai, être vrai ; faire face ; à, à l'égard de, envers ; paire, couple, spécificatif"
多,duō,"beaucoup, être beaucoup ; nombreux, être nombreux ; plus que, plus de, davantage ; marque l'emphase"
儿,ér,"fils, enfant ; suffixe pékinois, utilisé dans le mandarin du nord"
二,èr,deux ; 2 (énumération)
饭,fàn,riz cuit ; repas
飞,fēi,voler (dans les airs)
分,fēn,"centime ; minute ; diviser, séparer, partager ; voir aussi fen4"
服,fú,"servir, obéir ; vêtement"
高,gāo,"haut, être haut ; grand, être grand"
歌,gē,chant ; ballade
个,gè,"individuel ; taille ; spécificatif, prend le ton neutre lorsque spécificatif"
工,gōng,ouvrage (règle en forme de double T) ; travail
狗,gǒu,chien
关,guān,fermer ; éteindre
馆,guǎn,"auberge, hôtel ; échoppe"
国,guó,"pays, État, nation (ne s'utilise qu'en composé)"
果,guǒ,fruit ; résultat
汉,hàn,"Han, ethnie majoritaire de la Chine ; chinois"
好,hǎo,"ok ; bon, être bon ; bien, être bien ; mieux, être mieux"
喝,hē,boire
和,hé,et (ne s'utilise qu'entre les groupes nominaux) ; avec ; harmonie ; être en harmonie
很,hěn,très (lorsque accentué à l'oral) ; annule la comparaison implicite du verbe d'état
后,hòu,"après ; après (-demain), dans (deux ans) ; derrière, arrière"
候,hòu,période ; attendre
话,huà,parole
欢,huān,joie ; plaisir
回,huí,"fois (langage parlé) ; retourner, revenir, rentrer quelque part ; répondre (à une lettre)"
会,huì,"savoir, savoir faire, pouvoir ; marque du futur, marque la probabilité ; être possible ; séance, réunion"
火,huǒ,"feu ; être chaud, faire fureur"
机,jī,machine ; appareil ; mécanisme
几,jǐ,"combien (pour une réponse inférieure à 12) ; plusieurs, quelques"
家,jiā,"lieu où l'on habite, maison, famille ; spécificatif"
见,jiàn,"voir, percevoir"
叫,jiào,appeler ; s'appeler ; crier ; marque du passif ; synonyme de rang4
觉,jué,"somme, temps de sommeil"
姐,jiě,sœur (aînée)
今,jīn,"présent, le présent ; aujourd'hui"
京,jīng,capitale ; Pékin
九,jiǔ,neuf ; 9
开,kāi,"ouvrir ; conduire ; allumer (lampe, lumière) ; mettre en marche (appareil)"
看,kàn,regarder ; voir
客,kè,"hôte, visiteur, client"
快,kuài,"morceau, fragment, pièce ; spécificatif (monnaie, montre, chose en morceaux)"
来,lái,venir
老,lǎo,"vieux, être vieux ; âgé, être âgé ; ancien, être ancien"
了,le,"particule modale, particule aspectuelle, marque le changement ou l'achèvement d'une action"
冷,lěng,"froid, être froid, avoir froid, faire froid"
里,lǐ,"intérieur, à l'intérieur, dedans, dans"
两,liǎng,deux ; 2 ; once ; 50g
亮,liàng,"clair, être clair ; lumineux, être lumineux; brillant, être brillant ; s'éclaircir ; s'illuminer ; faire jour"
零,líng,zéro ; 0 ; quantité minime ; quantité fractionnaire
六,liù,six
妈,mā,maman
吗,ma,particule interrogative ; marque la question directe ou indirecte ; se place en fin de phrase
买,mǎi,acheter
猫,māo,chat
么,me,suffixe ; est parfois prononcé mo0
没,méi,"ne pas ; il n'y a pas, ne pas y avoir, négation du verbe yǒu ; voir aussi mò"
们,men,"pluriel ; suffixe du pluriel, uniquement pour les personnes"
米,mǐ,riz ; mètre
面,miàn,"face, visage ; aspect ; suffixe pour les locatifs"
名,míng,"nom, prénom ; s'appeler ; spécificatif"
明,míng,"clair, être clair ; brillant, être brillant ; prochain (jour, année)"
哪,nǎ,"quel, quelle, lequel, laquelle ; où ; interrogatif ; suivi d'un spécificatif"
那,nà,"alors ; ce, cela, celui-là"
男,nán,homme
脑,nǎo,cerveau ; cervelle
呢,ne,"et, interrogatif ; relance une question sur le groupe nominal qui précède ; renforce l'interrogatif qui précède ou marque la suspension lorsque placé en fin de phrase"
能,néng,"pouvoir, être en son pouvoir de, être capable de"
你,nǐ,"tu, te, toi, vous singulier"
年,nián,année civile ; année
女,nǚ,femme
朋,péng,ami
漂,piāo,"flotter sur l'eau ; élégant, être élégant ; se prononce aussi piao1"
苹果,píng,pomme (voir ping2guo3)
七,qī,sept ; 7
期,qī,"période, durée ; délai"
起,qǐ,lever ; se lever ; spécificatif
汽,qì,vapeur
气,qì,"souffle, air ; énergie"
前,qián,"précédent, avant, auparavant ; devant"
钱,qián,"argent, monnaie"
请,qǐng,inviter ; prier de ; veuillez s'il vous plaît ; s'il vous plaît
去,qù,aller ; quitter
热,rè,"chaud, être chaud, faire chaud"
人,rén,"homme, humain, personne ; les gens"
认,rèn,"connaître, reconnaître ; prendre pour maître"
日,rì,soleil ; jour ; synonyme de hào4
三,sān,trois ; 3
商,shāng,"marchand, commerçant ; commerce"
上,shàng,"antérieur, précédent, passé ; dessus, sur, en haut, supérieur ; aller quelque part ; monter"
少,shǎo,"peu, être peu ; être peu nombreux ; manquer de ; moins"
谁,shéi,"qui, interrogatif ; se prononce aussi shuí2"
什,shén,quoi ; quel ; pronom interrogatif
生,shēng,"naître, donner naissance ; vivre ; vert, pas mûr ; cru, pas cuit"
师,shī,maître
十,shí,dix ; 10 ; dizaine
时,shí,heure (durée) ; moment
是,shì,être ; oui ; vraiment
视,shì,regarder ; vue (cf. shìjué 视觉)
书,shū,livre ; écrire
水,shuǐ,eau
睡,shuì,dormir
说,shuō,dire ; parler
四,sì,quatre ; 4
岁,suì,année d'âge ; année
她,tā,"elle, la, lui"
他,tā,"il, le, lui"
太,tài,trop ; extrêmement
天,tiān,jour ; ciel
听,tīng,écouter ; cannette ; cannette de
同,tóng,identique ; être identique
喂,wèi,"allô, allo ; nourrir, donner à manger à"
我,wǒ,"je, me, moi"
五,wǔ,cinq ; 5
午,wǔ,"midi, milieu du jour (période entre 11h et 13h)"
西,xī,"ouest, occidental"
习,xí,"s'exercer, s'entraîner à ; habitude"
喜,xǐ,"aimer ; se réjouir, joie"
系,xì,"lier, attacher"
下,xià,"fois ; postérieur, prochain ; dessous, sous, en bas, inférieur ; descendre, sortir"
先,xiān,"d'abord, en premier ; avant, devant"
现,xiàn,"devenir manifeste ; présent, maintenant"
想,xiǎng,"penser, réfléchir ; s'ennuyer de ; avoir envie de, vouloir (lorsque suivi d'un verbe)"
小,xiǎo,"petit, être petit, être plus petit (objet) ; jeune, être jeune, être plus jeune"
校,xiào,école
些,xiē,"marque le pluriel indéterminé ; quelques, plusieurs"
写,xiě,écrire
谢,xiè,remercier
星,xīng,étoile
兴,xìng,"entrain, enthousiasme ; voir aussi xing1"
学,xué,"étudier, apprendre ; imiter ; science"
样,yàng,"forme, modèle ; sorte, espèce"
一,yī,"un, une ; 1 ; se prononce également yí, yì, yāo"
衣,yī,"habit, vêtement"
医,yī,"médecin, médecine ; soigner"
椅,yǐ,chaise
影,yǐng,"ombre, reflet ; cinéma"
友,yǒu,"amitié, ami"
有,yǒu,"avoir, y avoir, il y a"
雨,yǔ,pluie
语,yǔ,langue
院,yuàn,"établissement, institut ; cour"
月,yuè,lune ; mois
在,zài,"se trouver à ; être là, être quelque part ; à, en, chez ; être en train de"
再,zài,encore une fois ; de nouveau ; de plus ; préfixe re-
怎,zěn,comment
站,zhàn,"debout, se tenir debout ; station, arrêt, gare"
这,zhè,"ce, cet, cette, ceci ; voir aussi zhèi ; suivi d'un spécificatif"
这,zhèi,"ce, cet, cette, ceci ; voir aussi zhè"
中,zhōng,"centre, milieu ; Chine ; voir aussi zhòng"
钟,zhōng,cloche ; horloge ; (d'horloge)
住,zhù,habiter ; résider
桌,zhuō,table
字,zì,caractère (d'écriture) ; lettre (alphabet)
子,zi,suffixe
租,zū,louer ; location
昨,zuó,hier
坐,zuò,s'asseoir ; prendre (un moyen de transport) ; en
做,zuò,faire
作,zuò,écrire ; composer ; faire (forme désuette pour 做)
